id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12495558,DOWNTOWN + RIVER VIEWS 2BD MODERN ULTRA LUXURY,67653393,Dan,,Loop,41.88720242355614,-87.63004778912855,Entire home/apt,200,32,0,,,7,365
12495781,HEART OF CHICAGO 2BEDROOM |POOL| ROOF TOP SKY DECK,67653393,Dan,,Near North Side,41.893622773106884,-87.61539908707324,Entire home/apt,185,120,1,2016-12-02,0.04,7,364
12496049,CLEAN MODERN CORNER 2/2 ALL WINDOW!,33127842,Kari,,Near North Side,41.88834314431992,-87.63428744953745,Entire home/apt,205,15,5,2018-08-10,0.21,17,344
12507128,"Edgewater escape, charming 2 BR",24620539,Peg,,Edgewater,41.99130957296737,-87.6668714735284,Entire home/apt,99,2,92,2018-10-05,3.14,2,322
12509442,Master Suite and Bathroom in Wicker Park,7312291,Catherine,,West Town,41.91131279197515,-87.68604893711169,Private room,74,1,126,2018-09-26,4.53,2,220
12534022,BEST LOCATION! GREAT VIEWS! AFFORDABLE PRICE!,2134492,Herman,,Loop,41.886866709357804,-87.62938100019055,Entire home/apt,410,5,1,2016-07-24,0.04,1,278
12536277,Great Edgewater/Andersonville Suite,54202421,Tripp & Todd,,Edgewater,41.98642039294729,-87.6618863382104,Private room,120,2,67,2018-10-07,2.27,1,352
12541151,"Room #6 4 Studies or visitors, your pet is welcome",35342456,Roberto,,Portage Park,41.939956238015135,-87.75531853898566,Private room,56,2,9,2018-05-22,0.31,9,306
12543338,Fabulous Condo in Historic Lincoln Park!,16850046,Owl,,Lincoln Park,41.91848671760766,-87.64171163670505,Entire home/apt,250,4,31,2018-09-22,1.10,1,0
12543743,Spacious 2bd High-End Condo 51st floor with Views!,32960567,Chris,,Near North Side,41.8947700817885,-87.62752782833458,Entire home/apt,182,30,0,,,1,166
